threshold,dropout_precision,dropout_recall,dropout_f1,dropout_f2,macro_f1,alert_share,selected
0.21,0.6160100062539087,0.8663148636763413,0.7200292397660819,0.8012038392711892,0.5845545767255356,0.45182254874258265,False
0.22,0.6290839205637412,0.8636763412489006,0.7279466271312083,0.8037321983958094,0.5972446072883989,0.44108505227465383,False
0.23,0.645778364116095,0.86103781882146,0.73803241613268,0.8072229551451188,0.6104635871116906,0.42836959593105395,True
0.24,0.6578769438810007,0.8557607739665787,0.7438837920489296,0.8072009291521487,0.6157535465351002,0.41791466515964965,False
0.25,0.665976535541753,0.8487247141600703,0.7463263727764888,0.8045689511422378,0.6207528704601472,0.40943769426391635,False
0.26,0.6772823779193206,0.841688654353562,0.7505882352941177,0.8027176648213387,0.6296169467964298,0.39926532918903646,False
0.27,0.6846652267818575,0.8364116094986808,0.7529691211401425,0.8009095502779181,0.6327985923575183,0.3924837524724498,False
0.28,0.695139911634757,0.830255057167986,0.7567134268537075,0.7991872671859126,0.6350747009306572,0.3837242158801921,False
0.29,0.706766917293233,0.8267370272647317,0.7620591811917309,0.7995916978564137,0.641860866463078,0.37581237637750775,False
0.3,0.7168073676132003,0.8214599824098505,0.7655737704918033,0.7981541616817638,0.6466836519194777,0.36818310257134784,False
0.31,0.7266355140186916,0.820580474934037,0.7707558859975217,0.7998971193415638,0.6524876618510346,0.36281435433738346,False
0.32,0.7344992050874404,0.8126649076517151,0.7716075156576201,0.7957285566655184,0.6545654276839213,0.35546764622774796,False
0.33,0.7390953150242326,0.8047493403693932,0.7705263157894737,0.7907016937435188,0.6567497971890676,0.3498163322972591,False
0.34,0.7473338802296965,0.8012313104661389,0.7733446519524618,0.7898387376452228,0.6607743634869265,0.34444758406329473,False
0.35,0.755,0.7968337730870713,0.7753530166880617,0.7881002087682673,0.6648348058495839,0.3390788358293303,False
0.36,0.7644557823129252,0.7906772207563765,0.7773454388240381,0.7852900069881202,0.6701767395568611,0.3322972591127437,False
0.37,0.7771975630983464,0.7854001759014951,0.7812773403324584,0.783745831139196,0.6760065381771948,0.3246679853065838,False
0.38,0.7903657448706513,0.7792436235708003,0.7847652790079717,0.781442935261951,0.6809926057814636,0.3167561458038994,False
0.39,0.7961956521739131,0.7730870712401056,0.784471218206158,0.7776008492569002,0.6817293371223784,0.31195252896298387,False
0.4,0.7973977695167286,0.7546174142480211,0.7754179846362403,0.7628022759601707,0.6779606203532172,0.3040406894602995,False
0.41,0.8049242424242424,0.7475813544415127,0.7751937984496124,0.7583868665239115,0.6797633942206828,0.2983893755298107,False
0.42,0.8115384615384615,0.7423043095866315,0.7753789618741387,0.7551896921975663,0.6821405988254318,0.2938683243854196,False
0.43,0.8180039138943248,0.7352682497801232,0.7744326076887448,0.7504488330341114,0.6821733367577786,0.2887821418479797,False
0.44,0.8261738261738262,0.7273526824978013,0.7736202057998129,0.7451793115876735,0.6841175838165506,0.2828482622209664,False
0.45,0.8316430020283976,0.7211961301671064,0.7724917569477155,0.7408745934224792,0.6850853849389628,0.2786097767730997,False
0.46,0.8371134020618557,0.714160070360598,0.770764119601329,0.735773831098224,0.686065208146815,0.2740887256287087,False
0.47,0.8421052631578947,0.7036059806508356,0.7666506947771922,0.7275372862859222,0.6845525821126667,0.26843741169821983,False
0.48,0.8431793770139635,0.6904133685136323,0.7591876208897486,0.7163716006570542,0.6812489902523705,0.26306866346425545,False
0.49,0.8474204171240395,0.6789797713280563,0.75390625,0.7070892104781096,0.6788668505170742,0.2574173495337666,False
0.5,0.8511111111111112,0.673702726473175,0.7520864015709376,0.7030102790014684,0.6784922813203046,0.25430912687199775,False
0.51,0.8574660633484162,0.6666666666666666,0.7501237011380505,0.6977172312223858,0.6791755701914729,0.24978807572760667,False
0.52,0.8648960739030023,0.6587510993843447,0.7478781827259111,0.6917251570003694,0.6783184925681461,0.24470189319016672,False
0.53,0.8698710433763188,0.6525945470536499,0.7457286432160805,0.6869098315126828,0.6779597058178185,0.24102853913534897,False
0.54,0.8745519713261649,0.6437994722955145,0.7416413373860182,0.6796657381615598,0.6763662859813481,0.2365074879909579,False
0.55,0.8797083839611178,0.6367634124890061,0.7387755102040816,0.6739899460063303,0.6764185038681495,0.2325515682396157,False
0.56,0.8836633663366337,0.6279683377308707,0.7341902313624679,0.6665421956684092,0.6754111656194545,0.22831308279174908,False
0.57,0.8905660377358491,0.6226912928759895,0.7329192546583851,0.6625491297024144,0.676170358085365,0.22463972873693133,False
0.58,0.8928571428571429,0.6156552330694811,0.7287870900572618,0.6564141035258815,0.6747767256156664,0.22153150607516248,False
0.59,0.8980645161290323,0.6121372031662269,0.7280334728033473,0.6537666729287995,0.6754376632142339,0.2189884148064425,False
0.6,0.9014454664914586,0.6033421284080914,0.7228661749209695,0.6460727067244302,0.6736208170761288,0.2150324950551003,False
0.61,0.9059139784946236,0.592788038698329,0.7166400850611377,0.6368102796674225,0.6719158904415625,0.2102288782141848,False
0.62,0.908344733242134,0.5839929639401935,0.7109207708779444,0.6289069899602198,0.6700203138494151,0.20655552415936707,False
0.63,0.9113573407202216,0.5787159190853123,0.7079074771382464,0.6242884250474383,0.668818369913566,0.20401243289064708,False
0.64,0.9138418079096046,0.5690413368513633,0.7013550135501355,0.6154870624048706,0.6658953048539616,0.2000565131393049,False
0.65,0.920749279538905,0.5620052770448549,0.6979792463134898,0.6095001907668829,0.6660502470722108,0.1961005933879627,False
0.66,0.9269005847953217,0.5576077396657871,0.6963207029104888,0.6058868501529052,0.6651576458712535,0.19327493642271829,False
0.67,0.9355322338830585,0.5488126649076517,0.6917960088691796,0.5982742090124641,0.6641305145940192,0.18847131958180277,False
0.68,0.9349470499243571,0.5435356200527705,0.6874304783092324,0.5932040698790555,0.6620718097560322,0.1867759254026561,False
0.69,0.9382716049382716,0.534740545294635,0.6812324929971989,0.5850654349499615,0.6600096305182546,0.18310257134783836,False
0.7,0.9376947040498442,0.5294635004397538,0.6767847105115233,0.5799614643545279,0.6578994782905748,0.18140717716869173,False
0.71,0.9393939393939394,0.5180299032541776,0.6678004535147393,0.5690821256038647,0.6542358835815826,0.17716869172082508,False
0.72,0.9431818181818182,0.5109938434476693,0.6628636622932116,0.5625484120836561,0.652776698642854,0.17406046905905623,False
0.73,0.947107438016529,0.503957783641161,0.6578645235361653,0.5559868038036095,0.6504566317183045,0.17095224639728737,False
0.74,0.9455782312925171,0.4890061565523307,0.6446376811594203,0.5412772585669782,0.6444014804764201,0.16614862955637186,False
0.75,0.9480069324090121,0.4810905892700088,0.6382730455075846,0.5336585365853659,0.6421012074562028,0.163040406894603,False
0.76,0.9485815602836879,0.47053649956024624,0.6290417401528513,0.5232785602503912,0.6377785179226916,0.15936705283978525,False
0.77,0.9490909090909091,0.45910290237467016,0.6188500296384114,0.5119654766575128,0.6334545393648516,0.15541113308844307,False
0.78,0.9515828677839852,0.4494283201407212,0.6105137395459976,0.5024582104228122,0.6302978305609667,0.15173777903362531,False
0.79,0.953757225433526,0.43535620052770446,0.5978260869565217,0.48845470692717585,0.6252277893825824,0.14665159649618537,False
0.8,0.9563492063492064,0.4239226033421284,0.5874466788543571,0.4770387965162312,0.6212190105298022,0.14241311104831875,False
0.81,0.9592668024439919,0.41424802110817943,0.5786240786240786,0.4673546338559238,0.6179196234257202,0.138739756993501,False
0.82,0.9637526652452025,0.3975373790677221,0.5628891656288917,0.4504684074147897,0.611703197420361,0.13252331166996326,False
0.83,0.9649890590809628,0.38786279683377306,0.5533249686323714,0.4405594405594406,0.6078458030723991,0.12913252331166997,False
0.84,0.963882618510158,0.3755496921723835,0.540506329113924,0.4277699859747546,0.6023438298246421,0.12517660356032778,False
0.85,0.9672131147540983,0.36323658751099386,0.5281329923273658,0.4150753768844221,0.5976209626008515,0.1206555524159367,False
0.86,0.9697732997481109,0.3386103781882146,0.5019556714471969,0.38928210313447925,0.5871534480299201,0.11217858152020345,False
0.87,0.9700272479564033,0.3131046613896218,0.4734042553191489,0.3621566632756867,0.5755491999670254,0.10370161062447018,False
0.88,0.9678362573099415,0.2911169744942832,0.44759972954699123,0.33844580777096117,0.5649513646175423,0.09663746821135914,False
0.89,0.9719626168224299,0.27440633245382584,0.4279835390946502,0.3203943314849045,0.5571516978452098,0.09070358858434587,False
0.9,0.9763513513513513,0.2541776605101143,0.4033496161898116,0.2983071841453344,0.5477634725850531,0.08363944617123481,False
0.91,0.9850187265917603,0.23131046613896217,0.37464387464387466,0.2731048805815161,0.5371142799551176,0.07544504097202599,False
0.92,0.9831223628691983,0.20492524186455585,0.33915574963609896,0.24346917450365727,0.523104383013976,0.06696807007629274,False
0.93,0.98,0.1723834652594547,0.2931937172774869,0.2064026958719461,0.5051856817268697,0.05651313930488839,False
0.94,0.9826589595375722,0.14951627088830255,0.2595419847328244,0.18004660029654734,0.49247565208547045,0.04888386549872845,False
0.95,0.9859154929577465,0.12313104661389622,0.21892103205629398,0.14925373134328357,0.4768723195257476,0.04012432890647075,False
